"rank","headword","pos","english","sample","range","rawFreq","oral","fiction","nonFiction"
278,"madre","nf","mother","ahora está casada, es madre de familia",100,"7522","NA","NA","NA"
552,"crecer","v","to grow, increase","nació y creció el muchacho en La Huerta",99,"2911","NA","NA","NA"
2310,"fase","nf","phase, stage","la primera fase de la lucha finalizó en junio",84,"1185","NA","low","NA"
1267,"adoptar","v","to adopt","¿estaría con tiempo de adoptar otra postura?",97,"1584","NA","NA","NA"
150,"mano","nf","hand","se pueden contar con los dedos de una mano",100,"13309","NA","NA","NA"
2260,"ala","nf (el)","wing, flank","a este pájaro habrá que cortarle las alas",84,"853","NA","NA","NA"
1602,"área","nf (el)","area, zone","encerrando un área circular de unos treinta metros de diámetro",90,"2327","high","low","NA"
2154,"etcétera","n","etcetera","aproveché para comprar hierba, azúcar, whisky, etcétera, en el almacén",80,"1363","high","low","NA"
1523,"naturalmente","adv","naturally","los paraguayos somos naturalmente músicos",89,"1206","high","NA","NA"
2080,"doloroso","adj","painful","como parecía ser un tema doloroso para él, no le pregunté nunca",88,"522","NA","NA","NA"
490,"detener","v","to stop, detain","su pupila se detenía sobre el papel",100,"3559","NA","NA","NA"
946,"energía","nf","energy, power","no encontró ni las palabras ni la energía para hacerlo",98,"2641","NA","NA","NA"
496,"principal","adj","main, principal","¿cuál es el problema principal?",100,"4056","NA","NA","NA"
1313,"aparte","adv","apart, aside, separately","no pertenezco a nadie aparte de mi propia realidad",97,"810","high","NA","NA"
186,"cambio","nm","change","podía requerir un cambio de actitud",100,"8059","NA","NA","NA"
524,"enseñar","v","to teach, show","¿qué objeto tiene enseñar química en Secundaria?",100,"2384","high","NA","NA"
1891,"nación","nf","nation","la entrada de nuestro país en el grupo de naciones europeas",89,"1610","NA","NA","NA"
350,"edad","nf","age","se acercaba a la edad de encontrar un hombre con quien casarse",100,"3870","NA","NA","NA"
1700,"patio","nm","courtyard, playground, yard","en el centro del patio hay un árbol y a sus lados unos asientos de piedra",88,"1653","NA","NA","NA"
1408,"fabricar","v","to manufacture","contrató a gente para fabricar y vender el producto",94,"890","NA","NA","NA"
421,"dónde","adv","where?","¿Dónde está escrito esto en la historia?",98,"4145","high","NA","NA"
2477,"paralelo","adj","parallel","donde las líneas paralelas se representan como convergentes",86,"476","NA","NA","NA"
2437,"templo","nm","temple, church","el saqueo de Jerusalén y la destrucción del Templo en el año 68",81,"768","NA","NA","NA"
2039,"oculto","adj","hidden, occult","muy esotérico; como ciencias ocultas",90,"659","NA","NA","NA"
2261,"debate","nm","debate","se ha agudizado el debate sobre la efectividad de las investigaciones",83,"1441","high","low","NA"
2246,"cariño","nm","love, affection","un santo cuya vida simboliza el amor, el cariño y la generosidad",82,"695","high","NA","low"
220,"permitir","v","to allow, permit","no se me permitió jugar allí por varios días",100,"7481","NA","NA","NA"
1827,"aplicado","adj","applied","la distinción entre ciencia básica y aplicada no existe",94,"608","NA","NA","NA"
52,"yo","pron","I (subj)","¡Yo soy el padre!",98,"54635","high","NA","NA"
1875,"impulsar","v","to push, promote, drive","se incorpora para impulsar la canoa apoyándose en las vigas",93,"742","NA","NA","NA"
1012,"intento","nm","attempt, try","al segundo intento tampoco pudo",100,"1315","NA","NA","NA"
1505,"apartar","v","to move away, separate","se apartó del rebaño para seguir su propio camino",95,"1138","NA","NA","NA"
64,"ni","conj","not even, neither, nor","pero ni eso me tranquilizó",100,"24261","NA","NA","NA"
2241,"madrugada","nf","dawn, daybreak","estudiaron toda la noche hasta la madrugada",84,"780","NA","NA","NA"
853,"nota","nf","note, grade","la «españolada» tiene siempre una nota de carácter despectivo",98,"1702","NA","NA","NA"
2292,"impresionar","v","to impress","a mí no me impresionó tanto la escena de la crucifixión",88,"458","NA","NA","NA"
2613,"conservador","adj","conservative","yo antes era liberal y me he convertido en conservador",82,"832","NA","low","NA"
362,"movimiento","nm","movement","estaba encabezando un movimiento de subversión",100,"5542","NA","NA","NA"
2233,"tristeza","nf","sadness","las víctimas se sumergen en una tristeza infinita",86,"850","NA","NA","NA"
1253,"comercial","adj","commercial, shopping","está empleado en una firma comercial importante",94,"1773","NA","NA","NA"
2127,"década","nf","decade","el láser fue desarrollado en las décadas de 1950 y 1960",84,"2819","NA","low","NA"
2324,"deshacer","v","to undo, destroy, take apart","cuesta mucho deshacer una decisión mal tomada",89,"516","NA","NA","NA"
58,"entre","prep","between, among","la cosa es entre tú y yo",100,"30756","NA","NA","NA"
1866,"limitado","adj","limited","tienen aplicaciones limitadas, debido a su pobre resistencia",94,"760","NA","NA","NA"
2403,"inaugurar","v","to inaugurate, start","llegó el momento de inaugurar la nueva iglesia",89,"382","NA","NA","NA"
1855,"poema","nm","poem","le escribe un poema diario a su novia",85,"1099","NA","NA","NA"
1805,"suficientemente","adv","enough","no eran suficientemente cómodos para ella",94,"555","NA","NA","NA"
750,"participar","v","to participate","me quería meter en eso, participar y trabajar en todo eso",98,"2385","NA","NA","NA"
97,"seguir","v","to follow, keep on","el calor sofocante que sigue al mediodía",100,"16104","NA","NA","NA"
318,"fondo","nm","bottom, end","ese es el sistema, y en el fondo funciona",100,"4752","NA","NA","NA"
304,"semana","nf","week","no todos los días, pero varios días de la semana",100,"3960","NA","NA","NA"
2008,"desnudo","adj","nude, naked","dibujaba la silueta del cuerpo desnudo",86,"1316","NA","NA","NA"
2158,"posesión","nf","possession","están en posesión de armas ilegales",90,"625","NA","NA","NA"
2155,"comisión","nf","commission, committee","el general acaba de confiarme una comisión difícil",88,"831","NA","NA","NA"
1047,"mensaje","nm","message","cree que la visión del sueño fue un mensaje divino",97,"1285","NA","NA","NA"
2041,"separación","nf","separation","no hay separación de poderes, es una monarquía absoluta",93,"531","NA","NA","NA"
2515,"iluminar","v","to illuminate, light up","un rayo de sol poniente vino a iluminar el viejo crucifijo",85,"490","NA","NA","NA"
753,"salvar","v","to save, rescue","la amaba porque le había salvado la vida",100,"1592","NA","NA","NA"
693,"compañero","nm","companion, classmate","fue compañero mío de universidad, muy buen amigo",97,"2263","high","NA","NA"
1758,"modificar","v","to modify","y modificó radicalmente su actitud",91,"1116","NA","NA","NA"
2589,"aspiración","nf","ambition, aspiration","su mayor aspiración es que se logre resolver la situación",87,"419","NA","NA","NA"
273,"siglo","nm","century, age","los poetas más populares del siglo XX",100,"9253","NA","NA","NA"
1877,"empujar","v","to push, shove","empujó con una mano el portón de madera",92,"934","NA","NA","NA"
2237,"desagradable","adj","unpleasant","dejó en su piel un desagradable olor a grasa y humo",87,"429","NA","NA","NA"
2620,"cajón","nm","drawer","tuvo gran dificultad en poner la llave en el cajón del escritorio",81,"579","NA","NA","NA"
2031,"leyenda","nf","legend","en la leyenda griega, Prometeo trajo el fuego a la tierra",90,"570","NA","NA","NA"
2462,"formular","v","to formulate","se ha decidido a formular la pregunta en voz alta",86,"616","NA","NA","NA"
2588,"obstáculo","nm","obstacle","había logrado vencer el único obstáculo que me separaba del evento",88,"490","NA","NA","NA"
1341,"diciembre","nm","December","se apagó un mediodía de diciembre, diez días antes de Navidad",95,"1159","NA","NA","NA"
1389,"violento","adj","violent","los incesantes ataques que anuncian cada vez más violentos",98,"878","NA","NA","NA"
198,"modo","nm","way, manner","hay diferencia entre el modo de hablar y el de escribir",100,"7254","NA","NA","NA"
2474,"especializar","v","to specialize, major in","bueno, uno se especializa en letras o en biología o matemáticas",84,"824","NA","low","NA"
71,"día","nm","day","cada día hay más problemas",100,"24715","NA","NA","NA"
1125,"acontecimiento","nm","event, happening","el día de la comida fue acontecimiento memorable",98,"1155","NA","NA","NA"
234,"mantener","v","to keep, maintain","Luis cruzó los brazos y se mantuvo sereno",100,"6267","NA","NA","NA"
862,"enfrentar","v","to confront, face","prefieren huir a enfrentarse con los soldados",100,"1722","NA","NA","NA"
1816,"sábado","nm","Saturday","porque ya no tenía descanso los sábados y los domingos",86,"899","high","NA","low"
2185,"mapa","nm","map","levantó el mapa de casi toda la superficie del planeta",89,"575","NA","NA","NA"
2308,"máximo","nm","maximum","¿cuál es el mínimo y cuál es el máximo?",87,"594","NA","low","NA"
1097,"pintura","nf","painting, paint","una selección de obras maestras de la pintura y la escultura española",97,"1683","NA","NA","NA"
848,"operación","nf","operation","con el objetivo de elaborar una operación de rescate",99,"1844","NA","NA","NA"
1933,"parecer","nm","opinion, looks","y, lo que – a mi parecer – es más importante",91,"762","NA","NA","NA"
897,"cuarto","adj","fourth","un veinticinco por ciento, la cuarta parte, está cubierta de bosques",100,"1140","NA","NA","NA"
1091,"batalla","nf","battle","dedicándose en primer lugar a una batalla legal para obtener su DNI",99,"1422","NA","NA","NA"
468,"favor","nm","favor, benefit","están a favor de los serbios",100,"3182","NA","NA","NA"
377,"guerra","nf","war, warfare","qué pronto se olvida a las víctimas de una guerra",99,"6108","NA","NA","NA"
2243,"obrero","nm/f","worker, laborer","la selección de los obreros para determinados trabajos",86,"653","NA","NA","NA"
1749,"investigar","v","to investigate","me propuse investigar la menor anormalidad",93,"836","NA","NA","NA"
1370,"marca","nf","mark, brand, trademark","se quitó el chaleco y le mostró la marca en el brazo",98,"812","NA","NA","NA"
1059,"celebrar","v","to celebrate","fuimos a celebrar nuestra liberación",95,"1910","NA","NA","NA"
2473,"envuelto","adj","wrapped","la abrió y sacó el objeto envuelto en papel",83,"763","NA","NA","NA"
1795,"exterior","nm","exterior, outside","en el exterior de los extremos del tubo se sitúan dos espejos",91,"828","NA","NA","NA"
166,"hijo","nm","son, [pl] children","cada padre espera que su hijo sea más que él",100,"8856","NA","NA","NA"
607,"elemento","nm","element","era un elemento esencial en la estilística culta",98,"3668","NA","NA","NA"
1642,"contento","adj","happy, content","estoy contento, verdaderamente feliz de estar de nuevo con usted",87,"1128","high","NA","low"
1124,"cantar","v","to sing","comenzó a cantar con una voz muy dulce",92,"2012","NA","NA","NA"
732,"miembro","nm","member, limb","es el miembro más destacado del grupo",98,"2795","NA","NA","NA"
1989,"contrato","nm","contract, agreement","en marzo firmó un contrato con esta casa discográfica",90,"776","NA","NA","NA"
758,"lucha","nf","fight, struggle, wrestle","la lucha contra el desempleo es la principal prioridad",99,"2250","NA","NA","NA"
1180,"moda","nf","fashion, form","es una costumbre nueva, una moda nueva",95,"1181","NA","NA","NA"
947,"confianza","nf","confidence, trust","hay una gran confianza entre los alumnos y la profesora",99,"1317","NA","NA","NA"
964,"convenir","v","to be agreeable, be convenient","no conviene que me vean en un consultorio de esos",97,"1182","NA","NA","NA"
47,"qué","pron","what?, which?, how (+ adj)!","no sé qué voy a hacer",100,"42000","high","NA","NA"
1720,"ancho","adj","wide","la tierra era grande, ancha, muy grande, sí, sí",96,"942","NA","NA","NA"
781,"responsabilidad","nf","responsibility","con la libertad viene la responsabilidad",98,"1933","high","NA","NA"
1645,"descender","v","to descend","descendió de la cabina y empezó a cruzar la pista",93,"949","NA","NA","NA"
860,"extraordinario","adj","extraordinary, exceptional","yo creo que tiene un talento extraordinario como director",99,"1385","NA","NA","NA"
251,"crear","v","to create","lo que A. creaba con las manos era un don sobrenatural",100,"5645","NA","NA","NA"
1476,"beber","v","to drink","a comer un trozo y a beber un vaso de leche",88,"1648","NA","NA","NA"
2182,"entrega","nf","delivery","la entrega de la cosa es el cumplimiento del contrato",89,"479","NA","NA","NA"
2027,"objetivo","adj","objective, impartial","representación de la realidad se volvía objetiva, y mecánica",90,"848","NA","NA","NA"
2517,"especialidad","nf","specialty, specialized field","le preguntan sobre su especialidad y profesión",85,"517","high","low","NA"
2202,"calma","nf","calm, lull","entretanto, necesitas calma y paciencia",90,"586","NA","NA","NA"
2630,"presupuesto","nm","budget","hay un presupuesto de doscientos millones anuales para el edificio",80,"911","high","low","NA"
736,"pared","nf","(interior) wall","en la pared se ve colgada una pintura",98,"2419","NA","NA","NA"
1044,"acudir","v","to attend, go to, frequent","B. dejó la caja y acudió a recibirlos",98,"1353","NA","NA","NA"
852,"comprobar","v","to verify, prove","tuvo oportunidad de comprobar la cruda realidad",99,"1526","NA","NA","NA"
1524,"acusar","v","to accuse","no puedo mentir para acusar a mis amigos",94,"835","NA","NA","NA"
730,"anunciar","v","to announce, advertise","le oí anunciar la llegada de su invitado",100,"1881","NA","NA","NA"
2367,"humilde","adj","humble, modest","no corresponde a una gran mansión, sino a una humilde casa",87,"516","NA","NA","NA"
93,"llevar","v","to take, carry","colgado al hombro llevaba un bolso",100,"17062","NA","NA","NA"
2438,"líquido","nm","liquid","limpiaron el líquido con la toalla",82,"737","NA","NA","NA"
1141,"estructura","nf","structure","está sustentada por una estructura reticular de tubos de acero",93,"3236","high","NA","NA"
2010,"absurdo","adj","absurd","pertenecen a otra época: extraña, absurda y romántica",90,"668","NA","NA","NA"
1761,"ingeniero","nm/f","engineer","James Watt, el ingeniero escocés, perfeccionó el motor a vapor",92,"811","high","NA","NA"
985,"admitir","v","to admit","ella no quería admitir su culpabilidad",99,"1311","NA","NA","NA"
1714,"trabajador","nm/f","worker, laborer","un 20 de los trabajadores andaluces se dedican al comercio",91,"1183","NA","NA","NA"
1196,"alejar","v","to move away","se alejó de ella, dio unos pasos, se sintió solo",97,"1560","NA","NA","NA"
2165,"cadáver","nm","corpse, body","alejándome del lugar, donde quedó el cadáver de la víctima",85,"883","NA","NA","NA"
281,"viejo","adj","old, aged","el viejo tiene como ochenta años, y está loco",100,"7526","NA","NA","NA"
995,"preocupación","nf","worry, concern","su rostro expresaba preocupación y tristeza",100,"1177","NA","NA","NA"
1170,"médico","adj","medical","de niveles de ejercicio, revisiones médicas o dietas",99,"1307","NA","NA","NA"
1991,"cárcel","nf","jail, prison","la cárcel es para los ladrones",86,"772","NA","NA","NA"
222,"conseguir","v","to get, acquire, obtain","vas a robar, para conseguir plata",100,"6030","NA","NA","NA"
622,"resolver","v","to resolve, settle, work out","tenemos que resolver el conflicto",100,"2485","NA","NA","NA"
455,"echar","v","to throw, cast","me echó de la casa y me fui",98,"3867","NA","NA","NA"
252,"abrir","v","to open","todos quieren abrir la puerta para ir a jugar",100,"6350","NA","NA","NA"
1335,"consideración","nf","consideration, regard","que someteremos a la consideración del Consejo Político",98,"945","NA","NA","NA"
638,"abandonar","v","to abandon, leave (a place)","cuánto nos dolerá abandonar este lugar que tanto amamos",100,"2679","NA","NA","NA"
1939,"significativo","adj","significant, meaningful","fue un proyecto muy famoso y muy significativo",89,"1098","NA","NA","NA"
1475,"notable","adj","outstanding, noteworthy","este libro posee una calidad estética notable",95,"1090","NA","NA","NA"
1819,"desprender","v","to detach, release, remove","estira la ropa, se desprende de ella, queda desnuda",96,"742","NA","NA","NA"
171,"medio","nm","means, middle; pormedio: through","por medio de la música, se conocen los sentimientos",100,"8234","NA","NA","NA"
2214,"registro","nm","register, record","no se hizo registro de donde fueron enterrados",87,"659","NA","NA","NA"
1064,"sur","nm","south","es una isla que queda al sur del continente",97,"2102","NA","NA","NA"
442,"joven","adj","young","¿qué novedad le puede aportar una cantante joven como usted?",100,"3136","NA","NA","NA"
1948,"disco","nm","disc, disk, record","este «tesoro informativo», en un solo disco compacto de lectura óptica",86,"800","NA","NA","NA"
2600,"harto","adj","fed up with","estoy harto de los sermones de René",81,"495","NA","NA","low"
2601,"derrota","nf","defeat, loss","le infligió una derrota a su enemigo",82,"801","NA","NA","NA"
1480,"técnico","adj","technical","director artístico y director técnico",94,"1518","high","low","NA"
1451,"fracaso","nm","failure, collapse","la realidad ha demostrado el fracaso del comunismo",97,"899","NA","NA","NA"
1440,"período","nm","period, time","estamos en un período histórico especial",90,"1769","high","NA","NA"
751,"impedir","v","to prevent, hinder","nadie puede impedir este suceso",100,"1950","NA","NA","NA"
997,"concepto","nm","concept","hoy tenemos un concepto muy museístico de la obra de arte",95,"2185","NA","NA","NA"
395,"cuál","pron","which?","primero dime cuál es tu nombre",100,"3957","high","NA","NA"
1013,"cobrar","v","to charge (money)","parece que le quería cobrar una cuenta vieja",98,"1349","NA","NA","NA"
113,"forma","nf","form, shape, way","necesito estar en buena forma física",100,"16077","NA","NA","NA"
1555,"recurrir","v","to resort to","no saben recurrir a su propia iniciativa",95,"803","NA","NA","NA"
2147,"cansado","adj","tired, tiresome","estoy cansado y quiero dormir",82,"929","high","NA","low"
776,"tamaño","nm","size, dimension","volvió con un paquetón de papas fritas de tamaño gigante",99,"1750","NA","NA","NA"
1303,"practicar","v","to practice","para practicar otros deportes de montaña y de aventura",98,"998","NA","NA","NA"
627,"rico","adj","rich, tasty","no quiero ser rica; quiero ser famosa",99,"2259","NA","NA","NA"
42,"muy","adv","very, really","está muy contento con mi trabajo",100,"39558","high","NA","NA"
2,"de","prep","of, from","el hijo de un hermano mío",100,"1319834","NA","NA","NA"
265,"sentido","nm","sense, feeling","una cantante-actriz en el sentido actual del término",100,"6465","NA","NA","NA"
1374,"compra","nf","shopping, buy, purchase","salimos mi mamacita y yo a hacer compras al Centro",94,"781","NA","NA","NA"
1868,"constantemente","adv","constantly","como araña que cambia constantemente de rincón",92,"515","NA","NA","NA"
1281,"plata","nf","silver, money","ornamentados con perlas e hilos de oro y plata",91,"1653","NA","NA","NA"
14,"su","adj","his/her/their/your (–fam)","¿quién era? ¿Su hermana? ¿Su amiga?",100,"187810","NA","NA","NA"
2435,"concierto","nm","concert, concerto","tenía que proponer e imponer un concierto para guitarra y orquesta",80,"658","high","NA","NA"
2612,"lazo","nm","bow, knot, tie, lasso","para desanudar el lazo que me estrangula",85,"429","NA","NA","NA"
624,"oportunidad","nf","opportunity, chance","ahora teníamos la oportunidad de aprovechar nuestra experiencia",100,"2364","NA","NA","NA"
1566,"humanidad","nf","humanity, mankind","voy a educar a la humanidad por medio de la música",94,"898","NA","NA","NA"
2174,"intensidad","nf","intensity, force","va a defendernos con la misma intensidad a todos",89,"778","NA","NA","NA"
1096,"sector","nm","sector, area, section","se trasladó a otro sector de la ciudad",93,"3164","NA","NA","NA"
2255,"reino","nm","kingdom, reign","el legado pasó al reino de León y, finalmente, a la Corona de Castilla",86,"979","NA","NA","NA"
2194,"consulta","nf","consultation, advice","en previa consulta con los otros miembros del tribunal",87,"631","high","NA","NA"
521,"cultura","nf","culture","fue una primitiva cultura indoeuropea",100,"3930","NA","NA","NA"
757,"escapar","v","to escape","sentí deseos de salir corriendo, escapar de aquella casa",99,"2028","NA","NA","NA"
1120,"frío","nm","cold","porque en diciembre hacía frío y había que vestirse de lana",96,"1399","NA","NA","NA"
1888,"divino","adj","divine","consúltalo con la Divina Providencia",91,"773","NA","NA","NA"
842,"enviar","v","to send","para enviarle dinero a Pancho",97,"1690","NA","NA","NA"
956,"feliz","adj","happy, fortunate","con un aplausito cortés, y una sonrisita feliz",92,"2076","high","NA","NA"
922,"sencillo","adj","simple, plain, easy","¿es más difícil o más sencillo que antes?",98,"1331","NA","NA","NA"
657,"golpe","nm","hit, strike, punch","se murió por un golpe recibido en el cráneo",100,"2489","NA","NA","NA"
1894,"alejado","adj","remote, distant, aloof","viajar a algún lugar alejado, aislado de las computadoras y la red",95,"477","NA","NA","NA"
597,"cortar","v","to cut","salió al jardín y cortó el tallo más largo de su rosal",100,"2116","NA","NA","NA"
1,"el, la","art","the","esa mujer era la mujer que yo quería ser",100,"2037803","NA","NA","NA"
2631,"rural","adj","rural, country","ha cambiado de una población rural a una población urbana",82,"634","high","low","NA"
489,"profundo","adj","deep, profound","el mejor y más profundo conocimiento del poeta",100,"2707","NA","NA","NA"
210,"mes","nm","month","tendrá lugar el próximo mes de noviembre",100,"6312","NA","NA","NA"
1348,"fino","adj","fine, delicate","caía un fino polvillo",94,"1154","NA","NA","NA"
655,"cuarto","nm","room, chamber","dormía en un cuarto donde estaba la cama de ella",100,"2377","NA","NA","NA"
217,"mil","num","thousand","unos mil años han pasado desde entonces",100,"6044","high","NA","NA"
404,"cantidad","nf","quantity, amount","todo esto genera una cantidad de datos formidables",100,"3677","NA","NA","NA"
1225,"oponer","v","to oppose","nuestro grupo se opone a este proyecto",100,"938","NA","NA","NA"
289,"traer","v","to bring, carry","sí, me trae un zumo de naranjas, por favor",100,"5009","NA","NA","NA"
658,"disponer","v","to have means, dispose","el enemigo dispone de tropas y armas",100,"2212","NA","NA","NA"
2439,"debilidad","nf","weakness","está dedicada al estudio del mal, de la debilidad, y del sufrimiento",87,"464","NA","NA","NA"
579,"deseo","nm","desire, wish","tienen gran entusiasmo y deseo de participar activamente",100,"2355","NA","NA","NA"
2217,"gordo","adj","fat, thick","yo no sé cómo estoy gorda porque no como nada",84,"882","NA","NA","low"
87,"después","adv","after","vamos a dar un paseo después de comer",100,"20229","NA","NA","NA"
2206,"vergüenza","nf","embarrassment","sentían vergüenza de cantar en voz alta enfrente de los demás",82,"843","NA","NA","low"
855,"ése","pron","that one (m), [ésa (f)]","ése es el único que no está aquí",93,"2537","high","NA","NA"
1478,"rato","nm","moment, while, time","cuando hacía buen tiempo, se paseaba un rato sola por el parque",88,"2251","NA","NA","low"
676,"actual","adj","current","¿la gente del actual Gobierno lo sabe?",99,"3049","NA","NA","NA"
708,"precio","nm","price, cost, value","¡lleven tres al precio de uno!",97,"4011","NA","NA","NA"
766,"preocupar","v","to worry","cada día le preocupa más la suerte del muchacho",98,"1964","high","NA","NA"
1062,"central","adj","central","tenemos que ir al punto central ahora mismo",97,"1857","NA","NA","NA"
1269,"disfrutar","v","to enjoy","disfruta de los mínimos placeres de esa vida",96,"959","NA","NA","NA"
1783,"crimen","nm","crime, murder","luchamos contra la delincuencia y el crimen",94,"641","NA","NA","NA"
1606,"mezcla","nf","mixture, blend","ella era una mezcla de amor, de sadomasoquismo, de promiscuidad",95,"902","NA","NA","NA"
787,"carne","nf","meat, flesh","me gusta la carne de conejo",96,"2231","NA","NA","NA"
1078,"televisión","nf","TV, television","habrá transmisiones de televisión y radio",93,"2231","high","NA","NA"
2432,"escritura","nf","writing, scripture","ejerce una escritura apenas legible",81,"679","NA","NA","NA"
174,"dentro","adv","inside","¿o algo quedó dentro del pozo tapiado?",100,"7575","NA","NA","NA"
1039,"semejante","adj","similar, such, alike","es una situación muy semejante a la española, ¿no?",99,"1514","NA","NA","NA"
354,"puerta","nf","door","¿por dónde estará la puerta de salida?",98,"6136","NA","NA","NA"
1682,"admirar","v","to admire","para quedarse en el parque y admirar los desteñidos colores",92,"778","NA","NA","NA"
227,"general","adj","general","es decir, algo equivalente a los genes en sentido general",100,"7443","NA","NA","NA"
1146,"barrio","nm","neighborhood, district","en mi barrio vivía gente de países distintos",91,"1773","NA","NA","NA"
735,"recurso","nm","resource, recourse, means","tienen todas nuestras técnicas y recursos a su disposición",100,"2861","NA","NA","NA"
208,"medio","adj","half, middle","la noche sorprendió a los viajeros a medio camino",100,"7011","NA","NA","NA"
1246,"norteamericano","adj","North American","escucharon el discurso del presidente norteamericano",95,"1619","NA","NA","NA"
2035,"inclinación","nf","slope, incline, tendency","controla la inclinación de la carrocería en las curvas",94,"429","NA","NA","NA"
413,"libre","adj","free, vacant","estaré más tranquilo y con más tiempo libre",100,"3652","NA","NA","NA"
2302,"indígena","adj","indigenous, native","hija de padres campesinos, con ancestro indígena",85,"911","NA","NA","NA"
193,"idea","nf","idea","podemos renunciar a la idea de la igualdad",100,"6877","NA","NA","NA"
952,"comunicar","v","to communicate","la novela sirve más bien para comunicar ideas",100,"1124","NA","NA","NA"
325,"tocar","v","to touch, play (instrument)","se acercó hasta tocar su rodilla con la mía",100,"4556","high","NA","NA"
2356,"divertir","v","to amuse, entertain","la primera función del teatro es entretener y divertir",83,"670","NA","NA","low"
1504,"economía","nf","economy, economics, thriftiness","para gastar en obras públicas y reactivar la economía",93,"2505","high","low","NA"
1104,"empleado","nm","employee","con peligro para los empleados que allí trabajaban",99,"1167","NA","NA","NA"
2389,"ángulo","nm","angle","un ángulo de 45 grados con respecto a la superficie",84,"567","NA","NA","NA"
723,"cuánto","adj","how much?","¿Cuánto tiempo querías? ¿Una eternidad?",93,"3009","high","NA","NA"
1603,"traducir","v","to translate","la posibilidad de traducir una lengua con toda exactitud",96,"722","NA","NA","NA"
586,"carta","nf","letter, (playing) card","comienza a escribir de nuevo y a leer la carta",97,"2718","NA","NA","NA"
245,"caer","v","to fall","no quiero caer en mi tumba siendo joven",100,"6441","NA","NA","NA"
1963,"miseria","nf","misery, wretchedness","hay que resolver el hambre y la miseria",89,"700","NA","NA","NA"
1320,"sorprender","v","to surprise","abrió la puerta de golpe como para sorprender a quien estuviera",93,"1314","NA","NA","NA"
639,"pieza","nf","piece, part","el huarache es una pieza de pan cortado por la mitad",99,"2301","NA","NA","NA"
1722,"febrero","nm","February","creo que viene otra vez en enero o en febrero",92,"917","NA","NA","NA"
1447,"inteligente","adj","intelligent","era muy inteligente y lo había comprendido todo",95,"806","NA","NA","NA"
1193,"vencer","v","to overcome, conquer","puedes ayudarnos a vencer la miseria y el miedo",97,"1350","NA","NA","NA"
1010,"fuerte","adj","strong","lo vio tan fuerte, bien alimentado, limpio, hermoso",100,"1218","NA","NA","NA"
22,"todo","adj","all, every","todos los hombres son iguales",100,"88057","NA","NA","NA"
88,"vida","nf","life","ha dedicado toda la vida a la música",100,"18045","NA","NA","NA"
156,"fin","nm","end","se habrá terminado la humanidad y ése será el fin de la Historia",100,"9451","NA","NA","NA"
1557,"regreso","nm","return","tomamos el tren de regreso en la tarde",94,"932","NA","NA","NA"
2088,"varón","nm","male, man","¿su bebé fue niña o varón?",86,"747","NA","NA","NA"
451,"fuera","adv","out, outside, away","hace como diez años que está fuera del Paraguay",100,"2504","NA","NA","NA"
2257,"prohibido","adj","prohibited","estas actividades están prohibidas en las reservas",90,"524","NA","NA","NA"
2447,"limpieza","nf","cleanliness, purity","lo que hay que hacer es la limpieza y que esté limpio el pueblo",86,"359","NA","NA","NA"
1807,"pago","nm","payment","se habían retrasado en el pago del alquiler",93,"861","NA","NA","NA"
672,"sitio","nm","place, space","de ocupar el sitio que me correspondía en la casa",97,"2307","high","NA","NA"
2619,"gota","nf","drop","el médico dijo que no me quedaba una gota de sangre en el cuerpo",78,"618","NA","NA","NA"
899,"bastar","v","to be sufficient","una sola lección le bastó para conocerlo todo",97,"1855","NA","NA","NA"
200,"ocurrir","v","to happen, occur","el miedo a lo que pudiera ocurrir me inmovilizó",100,"6547","NA","NA","NA"
255,"fuerza","nf","strength, force, power","hay artistas excepcionales, con una fuerza increíble",100,"6449","NA","NA","NA"
212,"razón","nf","reason; tener razón: to be right","es verdad, tienes razón; ella no es de San Juan",100,"6161","NA","NA","NA"
2077,"prolongar","v","to extend, prolong","el paisaje que se prolonga hasta el horizonte",91,"686","NA","NA","NA"
1990,"presentación","nf","presentation, introduction","es autor teatral tan conocido que no necesita presentación",91,"549","NA","NA","NA"
717,"edificio","nm","building","era un colegio estilo colonial el edificio",99,"1872","NA","NA","NA"
1930,"descanso","nm","rest, interval, break","hacen un pequeño descanso después de haber leído veinticuatro hojas",90,"562","NA","NA","NA"
419,"objeto","nm","object, thing","será objeto de estudio para las predicciones meteorológicas",100,"3605","NA","NA","NA"
729,"junto","adj","together","desde hace varios años trabaja junto con el profesor",99,"1908","NA","NA","NA"
1723,"símbolo","nm","symbol","el árbol era el símbolo de nuestro amor",94,"788","NA","NA","NA"
2449,"fantasma","nm","ghost, phantom","se vuelve transparente, como fantasmas que se escurren",81,"635","NA","NA","NA"
393,"actividad","nf","activity, action","pienso que el arte es una actividad mental",100,"4482","NA","NA","NA"
1724,"agradable","adj","nice, pleasant","sin duda no era un personaje agradable ni sensible",91,"723","high","NA","NA"
2188,"tráfico","nm","traffic, trade","él está preso por tráfico de autos robados",86,"573","NA","NA","NA"
1239,"permanente","adj","permanent","vivían en permanente lucha con las ratas",96,"1370","NA","NA","NA"
1088,"presente","adj","present, current","es el primer semestre del presente año",99,"1114","NA","NA","NA"
1779,"potencia","nf","power, potential","tienen miles de proyectiles estratégicos, son una potencia nuclear",91,"1183","NA","NA","NA"
